,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
GFI1,3,"(2, 3]",0.0018293673449243947,GFI1,292.74421537715256,20615.0,260.0,120.01756530501976,160.0,1402.0,208.0,342.0
CREB5,3,"(2, 3]",0.006822612599850502,CREB5,313.46637233464713,71801.0,276.0,143.27231298929655,160.0,1495.0,214.0,369.0
ISL1,3,"(2, 3]",0.0071057092639773434,ISL1,387.55885854110176,60484.0,319.0,223.46114519736764,160.0,1498.0,232.0,469.0
TRIM22,3,"(2, 3]",0.010977799443991363,TRIM22,408.47746396264296,88658.0,350.0,200.3954590892868,192.0,1499.0,274.0,475.0
CEBPD,3,"(2, 3]",0.00594508905706017,CEBPD,231.35381965743406,84772.0,203.0,115.62397453570333,103.0,1482.0,153.0,278.0
MEF2D,3,"(2, 3]",0.005564077991479362,MEF2D,365.10002983590255,50275.0,322.0,157.67580254836886,191.0,1485.0,253.0,429.0
HAND2,3,"(2, 3]",0.01155479087759933,HAND2,343.52825767612046,110961.0,297.0,179.60938595101734,110.0,1495.0,215.0,423.0
TBX21,3,"(2, 3]",0.011952983365095836,TBX21,367.24852148159187,107371.0,304.0,238.94042287101894,96.0,1499.0,197.0,464.0
HOXB8,3,"(2, 3]",0.010783257125815437,HOXB8,438.92919982725647,81045.0,395.0,165.7536101069007,209.0,1490.0,316.0,515.0
CBFA2T3,3,"(2, 3]",0.006974268051889648,CBFA2T3,302.10216917461065,76158.0,270.0,160.5212714500412,98.0,1477.0,201.0,367.0
NR4A1,3,"(2, 3]",0.005787147896396397,NR4A1,275.89768342558204,69197.0,231.0,158.16605269597574,122.0,1498.0,172.0,325.0
ZNF175,3,"(2, 3]",0.006586169498203496,ZNF175,293.91258589903146,73924.0,232.0,186.63515679444717,116.0,1499.0,164.0,356.0
ZBTB16,3,"(2, 3]",0.0012521255257394613,ZBTB16,265.6538684159753,15549.0,243.0,90.06714440715912,86.0,1299.0,200.0,305.0
CBX3,3,"(2, 3]",0.001662317726855491,CBX3,185.71031866978225,29529.0,168.0,70.6054807294182,114.0,1454.0,135.0,214.0
BDP1,3,"(2, 3]",3.8860993439842716e-05,BDP1,222.95478260869567,575.0,220.0,85.06202721822218,99.0,686.0,147.0,278.0
RFX1,3,"(2, 3]",0.005268905224912903,RFX1,382.24122006465376,45473.0,356.0,131.35722598495346,210.0,1493.0,296.0,429.0
HNF1A,3,"(2, 3]",0.0027492736482649534,HNF1A,271.651001886962,33387.0,232.0,140.25791271274446,112.0,1497.0,183.0,309.0
CDK7,3,"(2, 3]",0.005386133872640343,CDK7,344.2417467451953,51616.0,296.0,168.13791762391298,159.0,1497.0,224.0,415.0
BACH2,3,"(2, 3]",0.0021795497621239714,BACH2,330.52050197664795,21754.0,295.0,139.2652530574241,179.0,1466.0,231.0,386.0
E2F8,3,"(2, 3]",0.0057838349860203095,E2F8,419.7914943236821,45452.0,353.0,205.63665429012391,213.0,1499.0,273.0,498.0
NFRKB,3,"(2, 3]",0.0033949728848516364,NFRKB,530.2896306818182,21120.0,437.0,287.52352235007305,219.0,1499.0,304.0,679.0
ZNF224,3,"(2, 3]",0.00038635676733598243,ZNF224,275.69911313000216,4623.0,245.0,110.30274658223026,148.0,1078.0,199.0,317.0
PRDM14,3,"(2, 3]",0.005465159622675629,PRDM14,320.28354443872024,56291.0,272.0,138.72830589210574,158.0,1485.0,226.0,365.0
CTBP2,3,"(2, 3]",0.004772213597732451,CTBP2,297.26421827794564,52960.0,242.0,191.24870810247853,111.0,1499.0,175.0,348.0
ZNF331,3,"(2, 3]",0.0003446975786649508,ZNF331,242.40609678107015,4691.0,231.0,76.29148650918265,141.0,1094.0,178.0,294.0
BRF1,3,"(2, 3]",0.001406550072506904,BRF1,170.84888987076107,27159.0,148.0,47.78716431507677,89.0,1383.0,148.0,182.0
DDX5,3,"(2, 3]",0.007765670475153151,DDX5,386.16617425384385,66340.0,351.0,155.80810158666517,156.0,1497.0,319.0,422.0
STAT5A,3,"(2, 3]",0.0032269253620377347,STAT5A,216.99947000428074,49057.0,185.0,108.85673807372662,127.0,1495.0,146.0,246.0
TFDP1,3,"(2, 3]",0.0019914929153998164,TFDP1,299.9205660808035,21905.0,278.0,174.00799942897476,104.0,1481.0,142.0,398.0
MAFF,3,"(2, 3]",0.00490205216024943,MAFF,200.70294387767765,80574.0,176.0,89.67844825840042,115.0,1294.0,142.0,229.0
MED12,3,"(2, 3]",0.004580419761428609,MED12,112.38510397762771,134452.0,95.0,64.96068887037346,54.0,1325.0,68.0,133.0
TWIST1,3,"(2, 3]",0.007277949684249571,TWIST1,315.5010709733374,76099.0,272.0,161.89428268828448,147.0,1498.0,202.0,379.0
TSC22D4,3,"(2, 3]",0.0009911646441456432,TSC22D4,318.5973886777745,10263.0,274.0,160.1033292862141,166.0,1496.0,213.0,369.0
ZNF766,3,"(2, 3]",0.002904564844384142,ZNF766,237.85289810103015,40285.0,187.0,154.7745886009575,111.0,1482.0,135.0,280.0
ZNF12,3,"(2, 3]",0.003244565723134453,ZNF12,243.37836240023648,43979.0,208.0,125.92846666961303,113.0,1480.0,155.0,291.0
GATAD2B,3,"(2, 3]",0.008048842921839607,GATAD2B,436.0791768628159,60889.0,356.0,236.97678384073095,177.0,1499.0,266.0,527.0
ZNF592,3,"(2, 3]",0.00684188865171393,ZNF592,463.6563064913722,48680.0,379.0,258.2867703262176,181.0,1499.0,277.0,557.0
ZBTB11,3,"(2, 3]",0.003394150795644943,ZBTB11,369.1360894075759,30333.0,323.0,183.98439361960334,115.0,1498.0,247.0,424.0
ARID1B,3,"(2, 3]",0.011924457294005916,ARID1B,421.8252552114609,93256.0,363.0,202.3409716140691,197.0,1498.0,286.0,501.0
ZNF184,3,"(2, 3]",0.004400125473850839,ZNF184,343.3375987511235,42278.0,302.0,147.2012201739082,149.0,1498.0,243.0,393.0
KMT2B,3,"(2, 3]",0.007938094592349882,KMT2B,391.5356069554296,66883.0,346.0,179.09942044438833,190.0,1499.0,259.0,476.0
PAX3-FOXO1,3,"(2, 3]",0.008247582684427433,PAX3-FOXO1,237.28916293104953,114662.0,204.0,93.36539618109529,166.0,1405.0,177.0,262.0
IRF2,3,"(2, 3]",0.0057849389863487664,IRF2,295.3357423628091,64618.0,227.0,188.02494587826035,124.0,1494.0,165.0,353.0
ZNF777,3,"(2, 3]",0.003815842545487046,ZNF777,392.7285745484042,32053.0,292.0,260.3116633342563,128.0,1498.0,227.0,487.0
CBX7,3,"(2, 3]",0.0008326281356935424,CBX7,327.6591912203269,8383.0,248.0,219.1054091165755,116.0,1474.0,152.0,468.0
MTA3,3,"(2, 3]",0.011164334880048706,MTA3,414.4180281753533,88872.0,340.0,240.9234766505092,132.0,1499.0,252.0,504.0
ZNF133,3,"(2, 3]",0.0011705904635902356,ZNF133,265.7542495354759,14531.0,256.0,118.22993317003672,109.0,1482.0,178.0,330.0
ZNF341,3,"(2, 3]",0.005929800683483632,ZNF341,329.6799750573008,59336.0,292.0,169.46047538704457,131.0,1499.0,218.0,399.0
TBL1XR1,3,"(2, 3]",0.003660083316279681,TBL1XR1,241.8777018770408,49919.0,206.0,125.51644843875012,120.0,1497.0,156.0,284.0
NFXL1,3,"(2, 3]",0.0014038837389294435,NFXL1,407.8274920746742,11356.0,321.0,244.00987972883686,205.0,1499.0,251.0,455.0
HDAC6,3,"(2, 3]",0.001739561071088654,HDAC6,453.9001028236969,12643.0,385.0,257.30829992643424,107.0,1498.0,280.0,567.0
EHMT2,3,"(2, 3]",0.005145489385888335,EHMT2,346.3338978209418,49012.0,288.0,182.65484434925548,163.0,1492.0,218.0,411.0
FOXL2,3,"(2, 3]",0.01100742314967473,FOXL2,307.2281249471208,118194.0,274.0,127.99917382170861,136.0,1494.0,214.0,362.0
NELFA,3,"(2, 3]",0.003911495292231891,NELFA,428.95016953659996,30082.0,394.0,200.3756035816047,125.0,1492.0,269.0,549.0
KLF9,3,"(2, 3]",0.0072258631185058856,KLF9,261.63127394057796,91111.0,195.0,200.31401338495104,86.0,1495.0,117.0,332.0
ZBTB2,3,"(2, 3]",0.0073058622197368535,ZBTB2,233.55424733996162,103194.0,200.0,147.20245131784648,94.0,1497.0,138.0,272.0
MED26,3,"(2, 3]",0.011224880598226749,MED26,386.77153988364444,95741.0,283.0,249.68505342203463,179.0,1499.0,208.0,470.0
ZBTB1,3,"(2, 3]",0.003407991722332852,ZBTB1,258.31548836247504,43523.0,231.0,115.2207411691289,153.0,1497.0,177.0,297.0
ZNF584,2,"(1, 2]",0.0003267407495992841,ZNF584,344.37348242811504,3130.0,294.0,162.81577760332237,203.0,1497.0,239.0,391.0
ZBTB14,2,"(1, 2]",0.001831190976438947,ZBTB14,319.11980982567354,18930.0,260.0,187.13802247661707,119.0,1466.0,184.0,395.0
ZNF529,2,"(1, 2]",0.0002486401530517669,ZNF529,295.2634989200864,2778.0,262.0,98.58110238891668,215.0,1493.0,222.0,330.0
ZNF701,2,"(1, 2]",0.00015028803153346984,ZNF701,335.2177146720757,1479.0,292.0,102.78737034259387,223.0,1080.0,278.0,373.5
CBX2,2,"(1, 2]",0.006821479802149391,CBX2,432.2269130301168,52064.0,348.0,223.34889029797174,228.0,1499.0,296.0,485.0
TOP1,2,"(1, 2]",0.0012211131804337257,TOP1,391.1014563106796,10300.0,332.0,149.36123077227063,151.0,1495.0,304.0,420.0
HOXA9,2,"(1, 2]",0.0019421748381239512,HOXA9,226.9835264108832,28227.0,205.0,70.30897922267513,149.0,1088.0,176.0,253.0
ZNF662,2,"(1, 2]",0.00014621062669599588,ZNF662,311.385409941898,1549.0,268.0,145.34396276794993,173.0,1493.0,227.0,337.0
SAP30,2,"(1, 2]",0.0048109160540575815,SAP30,373.351266790562,42509.0,295.0,228.089868716823,148.0,1498.0,204.0,468.0
ZNF76,2,"(1, 2]",0.0031741237120615313,ZNF76,404.6354045907721,25878.0,347.0,205.3890564059739,136.0,1499.0,255.0,497.0
ZNF830,2,"(1, 2]",0.00044820261110676434,ZNF830,359.57709143968873,4112.0,315.0,138.16663618053835,206.0,1493.0,268.0,403.0
PCBP1,2,"(1, 2]",0.0058625927689247995,PCBP1,297.19827890895124,65075.0,246.0,148.25043937368426,170.0,1477.0,194.0,348.0
ZMIZ1,2,"(1, 2]",0.003386854147675065,ZMIZ1,330.74609987863,33781.0,292.0,181.90050902485385,114.0,1496.0,193.0,415.0
CBX4,2,"(1, 2]",0.0026669080092623578,CBX4,351.6063863799856,25022.0,256.0,240.20491750578583,171.0,1498.0,171.0,439.0
ZIC2,2,"(1, 2]",0.0009654013020490148,ZIC2,326.37569174011065,9758.0,293.0,131.53888432311612,174.0,1298.0,234.0,375.0
TAF7,2,"(1, 2]",0.0017449534549005509,TAF7,303.00284240446365,18998.0,249.0,188.31203054463805,97.0,1494.0,174.0,369.0
NR2C1,2,"(1, 2]",0.0025604213877950892,NR2C1,345.1820596648958,24470.0,299.0,162.09320452332926,176.0,1488.0,238.0,395.0
ZNF433,2,"(1, 2]",0.00022133660621354264,ZNF433,283.1213648701047,2579.0,266.0,81.88118654114253,196.0,1463.0,225.0,320.0
SRSF7,2,"(1, 2]",0.0023439703316347447,SRSF7,391.0859801739834,19772.0,324.0,182.0313432775994,215.0,1498.0,260.0,451.0
ZNF174,2,"(1, 2]",5.138542550213634e-05,ZNF174,296.35664335664336,572.0,257.0,149.52087662842428,162.0,1422.0,220.25,317.25
ZNF26,2,"(1, 2]",0.0005982154003837159,ZNF26,358.8761593016912,5499.0,316.0,101.7191357966158,221.0,1325.0,286.0,416.0
ZNF436,2,"(1, 2]",0.0004122204455415399,ZNF436,256.7747356495468,5296.0,257.0,91.01049992825895,153.0,1467.0,201.0,292.0
ZNF2,2,"(1, 2]",0.006485124973907231,ZNF2,474.71225064903365,45067.0,394.0,245.5479186980084,210.0,1499.0,298.0,563.0
OGT,2,"(1, 2]",0.001589996005173902,OGT,465.00505319148937,11280.0,419.0,183.31090020667799,240.0,1447.0,328.0,533.0
ZNF121,2,"(1, 2]",0.005633401148842142,ZNF121,287.1904651522176,64710.0,271.0,101.51169749288145,149.0,1485.0,218.0,330.0
ZNF507,2,"(1, 2]",0.0009726521773528863,ZNF507,309.89897624106624,10354.0,269.0,156.5834478949021,143.0,1482.0,194.0,379.0
ZNF317,2,"(1, 2]",0.002823940991731716,ZNF317,197.38400745810114,47197.0,185.0,59.39132283496974,92.0,862.0,152.0,228.0
ZNF223,2,"(1, 2]",0.0004056637384837329,ZNF223,346.24812419146184,3865.0,312.0,117.96067028104021,236.0,1150.0,262.0,390.0
ELL2,2,"(1, 2]",0.005541950999723253,ELL2,258.2662419302434,70789.0,218.0,126.36640981957218,119.0,1473.0,173.0,297.0
PCBP2,2,"(1, 2]",0.0025619412828107088,PCBP2,282.61558267848187,29905.0,243.0,113.46293862297593,192.0,1462.0,208.0,319.0
ERF,2,"(1, 2]",0.0014477818475417124,ERF,252.37014531043593,18925.0,227.0,101.07422024902428,142.0,1457.0,185.0,288.0
ZNF558,2,"(1, 2]",0.002145798331983546,ZNF558,356.8303256376651,19838.0,317.0,139.12492575118145,222.0,1498.0,258.0,406.0
INTS13,2,"(1, 2]",0.003696382859204569,INTS13,358.8910733731642,33977.0,288.0,204.71691345211457,154.0,1498.0,214.0,445.0
ZNF669,2,"(1, 2]",3.237521885783447e-05,ZNF669,224.37605042016807,476.0,187.5,94.72897280329805,157.0,859.0,160.0,251.25
ZNF770,2,"(1, 2]",0.00996822873176666,ZNF770,300.03111228707246,109603.0,273.0,120.90077837162761,148.0,1483.0,225.0,340.0
YY2,2,"(1, 2]",0.0016969997668279768,YY2,322.16452782413535,17377.0,282.0,155.0339126699333,125.0,1468.0,227.0,379.0
TET2,2,"(1, 2]",0.0009483526511777627,TET2,235.1749229497106,13303.0,221.0,63.63040384172468,131.0,847.0,198.0,258.0
SRSF1,2,"(1, 2]",0.004261622842858307,SRSF1,376.66699710641944,37324.0,295.0,228.68623856850348,177.0,1499.0,211.0,462.0
ZNF354A,2,"(1, 2]",6.120775461883167e-05,ZNF354A,215.72542735042734,936.0,200.0,75.40938844817227,138.0,855.0,163.0,244.0
PROX1,2,"(1, 2]",0.0022598595718493573,PROX1,173.83882476390346,42885.0,139.0,103.62155916800363,85.0,1232.0,101.0,210.0
ZNF300,2,"(1, 2]",0.0030989334689334315,ZNF300,320.59423607626695,31888.0,296.0,66.95013420300977,219.0,1481.0,296.0,296.0
KDM4C,2,"(1, 2]",0.0053024650767426245,KDM4C,351.2946539743744,49794.0,244.0,240.0968529610124,166.0,1499.0,181.0,434.0
CCAR2,2,"(1, 2]",0.0026718029563529483,CCAR2,245.68760975609757,35875.0,206.0,116.7969938494764,156.0,1486.0,171.0,276.0
U2AF1,2,"(1, 2]",0.005094751446575541,U2AF1,307.6821418764302,54625.0,248.0,165.06880156231404,167.0,1494.0,194.0,362.0
ZNF248,2,"(1, 2]",0.00022776993926429797,ZNF248,323.3188468158348,2324.0,302.0,99.02188180171568,220.0,1382.0,249.0,370.0
HNRNPC,2,"(1, 2]",0.002721613317136066,HNRNPC,460.0985446346213,19514.0,373.0,268.82484824015876,186.0,1498.0,248.0,596.75
ZNF132,2,"(1, 2]",2.7564845103773487e-05,ZNF132,331.8759124087591,274.0,305.5,135.8170200458917,165.0,1384.0,237.5,400.5
HEXIM1,2,"(1, 2]",0.008214334450482846,HEXIM1,367.28110218077825,73781.0,278.0,231.1190005953799,128.0,1496.0,208.0,439.0
HIVEP1,2,"(1, 2]",0.009255011781517443,HIVEP1,379.5652552276287,80438.0,290.0,237.41471415426926,151.0,1499.0,218.0,450.0
ZNF454,2,"(1, 2]",1.6418139975263152e-05,ZNF454,239.65486725663717,226.0,219.5,99.94592048027255,144.0,808.0,171.25,275.5
ZNF555,2,"(1, 2]",0.0007250529735399779,ZNF555,307.8756596730596,7769.0,306.0,66.75925502674173,196.0,1435.0,255.0,348.0
IRF9,2,"(1, 2]",0.0007924494351071307,IRF9,353.5119675456389,7395.0,301.0,183.4962452384722,118.0,1480.0,244.0,403.0
TASOR,2,"(1, 2]",6.065878575698754e-05,TASOR,400.216,500.0,364.5,180.56832275447636,193.0,1357.0,273.75,483.25
INTS11,2,"(1, 2]",0.004470596282296415,INTS11,347.0795443848254,42492.0,276.0,216.25548915545536,120.0,1494.0,183.0,454.0
ZNF202,2,"(1, 2]",0.002167663419213628,ZNF202,431.7412908289561,16563.0,331.0,286.2037131427371,133.0,1498.0,226.0,560.5
ZBTB21,2,"(1, 2]",0.005755391063225013,ZBTB21,316.0997086489636,60065.0,267.0,181.9585316210961,123.0,1498.0,190.0,384.0
ZNF626,2,"(1, 2]",0.0004247545777714641,ZNF626,320.6471395881007,4370.0,288.0,125.41940068257853,209.0,1489.0,240.0,362.0
ZFP64,2,"(1, 2]",0.008899507306721292,ZFP64,307.94323354800815,95338.0,238.0,206.56447261064883,120.0,1499.0,175.0,356.0
GLIS3,2,"(1, 2]",0.00836524996160992,GLIS3,499.38878031125586,55260.0,421.0,267.9824918269856,135.0,1499.0,302.0,619.0
ZNF574,2,"(1, 2]",0.0024093685586699947,ZNF574,250.0250078641082,31790.0,208.0,126.73401003442365,146.0,1384.0,160.0,292.0
ZNF697,2,"(1, 2]",0.0035522483715117593,ZNF697,289.79066719422326,40438.0,247.0,170.54984570533702,113.0,1492.0,166.0,362.0
KLF3,2,"(1, 2]",0.006907633356611735,KLF3,555.5936852371084,41015.0,451.0,323.6148096544103,170.0,1499.0,298.0,736.0
ZNF610,2,"(1, 2]",0.0021268899770993653,ZNF610,399.4547680045545,17565.0,352.0,169.40282490807203,216.0,1499.0,275.0,468.0
DRAP1,2,"(1, 2]",0.007822290959873425,DRAP1,344.6095189765231,74882.0,258.0,235.79622285699807,129.0,1499.0,181.0,425.0
ZNF708,2,"(1, 2]",9.054075840352001e-05,ZNF708,208.72536687631026,1431.0,194.0,62.369108080722924,147.0,855.0,158.0,242.5
ZNF644,2,"(1, 2]",0.0008389186944019849,ZNF644,341.331894425259,8108.0,276.0,204.7249608455298,169.0,1488.0,208.0,423.0
PBX2,2,"(1, 2]",0.0038349573320636153,PBX2,337.11327542101895,37528.0,307.0,133.10489445717675,110.0,1488.0,249.0,388.0
DDX20,2,"(1, 2]",0.0017128528720387576,DDX20,416.6765725241501,13561.0,358.0,195.1812056950422,149.0,1494.0,281.0,489.0
PATZ1,2,"(1, 2]",0.007918900688781077,PATZ1,483.0576368343195,54080.0,390.0,277.92820663665685,143.0,1499.0,276.0,606.0
PHOX2B,2,"(1, 2]",0.01136330896231086,PHOX2B,332.62251109139305,112700.0,292.0,152.25239436797546,164.0,1499.0,228.0,389.0
ZMYND8,2,"(1, 2]",0.004396923509142027,ZMYND8,335.0595735834238,43291.0,289.0,171.60201565092854,155.0,1495.0,209.0,409.0
ZNF239,2,"(1, 2]",0.0015983299648197776,ZNF239,334.39561136478943,15768.0,284.0,166.82949509099078,171.0,1493.0,225.0,383.0
ZNF444,2,"(1, 2]",0.0054643990689073425,ZNF444,415.02410498445954,43435.0,355.0,201.27094000789668,177.0,1498.0,275.0,484.0
ZIM3,2,"(1, 2]",0.0020535109371460415,ZIM3,187.8737589439237,36058.0,176.0,66.83511224018729,98.0,871.0,142.0,223.0
SFMBT1,2,"(1, 2]",0.0010938609251112557,SFMBT1,350.48086635586634,10296.0,304.0,173.62393144589768,94.0,1491.0,259.0,416.0
RBAK,2,"(1, 2]",0.0002859806452155135,RBAK,331.0263157894737,2850.0,306.0,110.83822277241921,213.0,1257.0,259.0,369.0
ZNF528,2,"(1, 2]",0.00589842640067318,ZNF528,290.4757568519735,66988.0,247.0,127.41705455358826,188.0,1488.0,206.0,328.0
PBX3,2,"(1, 2]",0.0030537646383615546,PBX3,182.5911405941312,55173.0,148.0,116.08078645528781,92.0,1490.0,113.0,207.0
ZNF134,2,"(1, 2]",0.0009120913026629202,ZNF134,269.374127126231,11170.0,237.0,123.31968023490091,150.0,1307.0,187.0,313.0
SMARCA2,2,"(1, 2]",0.009813486504509316,SMARCA2,361.09340248731246,89655.0,327.0,137.68415200273617,195.0,1498.0,264.0,421.0
NKX3-1,2,"(1, 2]",0.00666441195970261,NKX3-1,271.27286075636994,81045.0,241.0,107.90600178547952,144.0,1288.0,191.0,318.0
ZNF337,2,"(1, 2]",0.0016601997558793975,ZNF337,303.0238464092066,18074.0,256.0,155.95766817757635,148.0,1436.0,192.0,361.0
ZNF23,2,"(1, 2]",0.00026835059054690255,ZNF23,311.7130281690141,2840.0,272.5,143.7887514491668,179.0,1489.0,221.0,348.0
ZHX2,2,"(1, 2]",0.002483214419190541,ZHX2,243.21317023929694,33682.0,203.0,131.37160387922884,114.0,1423.0,153.0,291.0
ZNF816,2,"(1, 2]",0.0001812767326806058,ZNF816,195.94233289646132,3052.0,181.0,59.66971216221335,138.0,841.0,148.75,227.0
ZNF624,2,"(1, 2]",0.0005217062375880937,ZNF624,349.2416801948052,4928.0,287.0,199.64284995418637,171.0,1489.0,227.0,395.25
NFATC1,2,"(1, 2]",0.005843982391065022,NFATC1,358.9822732012513,53704.0,276.0,229.4516811515678,144.0,1497.0,199.0,437.0
SP4,2,"(1, 2]",0.004789488383761592,SP4,289.75592803829153,54529.0,234.0,165.73865401581565,134.0,1497.0,174.0,347.0
CBFA2T2,2,"(1, 2]",0.006048260343109443,CBFA2T2,311.4199937568285,64070.0,273.0,116.54895142307839,193.0,1472.0,225.0,352.0
SIN3B,2,"(1, 2]",0.002124426437651432,SIN3B,245.34556275161913,28565.0,192.0,151.80991991209305,110.0,1487.0,138.0,301.0
ZNF687,2,"(1, 2]",0.006082779299013639,ZNF687,430.5203604376743,46610.0,367.0,215.17996447648653,191.0,1499.0,276.0,517.0
MAFB,2,"(1, 2]",0.004280444199364051,MAFB,243.36991141291233,58022.0,218.0,96.94927301385819,123.0,1268.0,169.0,288.0
PHIP,2,"(1, 2]",0.023938976400638592,PHIP,474.0962209215068,166575.0,393.0,251.6339346607391,172.0,1499.0,282.0,596.0
RBBP4,2,"(1, 2]",0.007540055791884276,RBBP4,357.01033398877615,69673.0,303.0,180.41113995575222,170.0,1499.0,225.0,432.0
ELK4,2,"(1, 2]",0.0009716888294550726,ELK4,403.1081488933602,7952.0,363.0,173.57243557124335,211.0,1406.0,270.0,488.0
RUNX1T1,2,"(1, 2]",0.010470908393677576,RUNX1T1,270.48114448585835,127708.0,228.0,135.52768522984277,113.0,1492.0,171.0,321.0
DPF1,2,"(1, 2]",0.0005292575149582753,DPF1,208.7986127720641,8362.0,191.0,75.78954808599946,126.0,1370.0,154.0,241.0
TFAP2A,2,"(1, 2]",0.003167988962295655,TFAP2A,228.28066228348004,45781.0,208.0,89.49245055427845,131.0,1360.0,166.0,264.0
ZNF548,2,"(1, 2]",0.00025942583006627594,ZNF548,339.6123015873016,2520.0,318.0,106.00904823795501,224.0,1325.0,264.0,389.0
ZNF282,2,"(1, 2]",0.0013691577450723814,ZNF282,429.1838654503991,10524.0,359.0,222.19710372796996,171.0,1490.0,276.0,504.0
PAX6,2,"(1, 2]",0.0012054810571667793,PAX6,267.18462778822897,14884.0,231.0,129.5277247350072,150.0,1473.0,190.0,297.0
FOXK1,2,"(1, 2]",0.00754713933929652,FOXK1,318.02254496219086,78288.0,234.0,231.07100600860687,119.0,1499.0,162.0,384.0
ZNF417,2,"(1, 2]",7.563099449481475e-05,ZNF417,244.8478900883219,1019.0,226.0,92.4335975910197,122.0,858.0,177.0,288.5
HMGB2,2,"(1, 2]",0.003247207806292837,HMGB2,462.5724587615511,23158.0,398.0,186.05386521517372,279.0,1492.0,332.0,531.0
ZNF587,2,"(1, 2]",6.170488820989979e-05,ZNF587,268.5474934036939,758.0,244.0,114.27552390424559,143.0,1431.0,193.25,309.75
ARRB1,2,"(1, 2]",0.001264756356515453,ARRB1,182.90022795020164,22812.0,160.0,64.94604138484016,130.0,918.0,135.0,206.0
ZBTB7B,2,"(1, 2]",0.00970603350384185,ZBTB7B,392.4853948836126,81581.0,301.0,264.85488090889135,134.0,1499.0,202.0,493.0
L3MBTL2,2,"(1, 2]",0.009468006849829149,L3MBTL2,489.7395926431159,63777.0,420.0,236.98914474789422,225.0,1499.0,313.0,594.0
SRSF4,2,"(1, 2]",0.0012795964004693133,SRSF4,315.27940846963924,13389.0,256.0,165.9586108397817,191.0,1493.0,211.0,350.0
ZNF320,2,"(1, 2]",0.0008627841380756394,ZNF320,213.05853731566734,13359.0,200.0,62.64596204982638,95.0,1472.0,168.0,243.0
E2F7,2,"(1, 2]",0.0013656417374365282,E2F7,208.10846267553583,21648.0,184.0,88.78571032184101,126.0,1499.0,153.0,234.0
PRKDC,2,"(1, 2]",0.0008014781692595479,PRKDC,227.95120268988705,11599.0,201.0,90.98508922631791,157.0,1362.0,169.0,255.0
ZNF79,2,"(1, 2]",0.0006135677344405673,ZNF79,333.2410273296016,6074.0,278.5,173.21319234107523,100.0,1499.0,218.25,387.0
CEBPG,2,"(1, 2]",0.005883261704233933,CEBPG,336.26770275655355,57717.0,315.0,104.36112568767126,209.0,1466.0,264.0,376.0
KMT2D,2,"(1, 2]",0.004755036116509855,KMT2D,426.28528724387195,36798.0,378.0,195.0960917441581,204.0,1498.0,281.0,509.0
ZHX1,2,"(1, 2]",0.004120787624680855,ZHX1,216.70491463550715,62731.0,183.0,109.29852377381647,116.0,1383.0,140.0,256.0
ZNF19,2,"(1, 2]",0.0020794058377661597,ZNF19,323.49809007309597,21205.0,294.0,68.79523967208073,229.0,1357.0,294.0,311.0
ZFY,2,"(1, 2]",0.006445672270241922,ZFY,483.30998272570235,43996.0,376.0,348.6269056159707,120.0,1499.0,196.0,692.0
DDX21,2,"(1, 2]",0.0008571656191058542,DDX21,329.18672875436556,8590.0,296.0,151.78142872513087,134.0,1243.0,213.0,407.0
ZNF280A,2,"(1, 2]",0.0012999300737347149,ZNF280A,245.46966227819118,17470.0,224.0,104.79922645156964,156.0,1496.0,169.0,284.0
ZBTB12,2,"(1, 2]",0.002002326183861763,ZBTB12,339.17833119383823,19475.0,294.0,159.97803293149542,56.0,1487.0,229.0,397.0
RYBP,2,"(1, 2]",0.005191636720869948,RYBP,550.4870467986628,31112.0,415.0,353.0741972022616,201.0,1499.0,262.0,766.0
PCGF1,2,"(1, 2]",0.004583919703161824,PCGF1,610.6670435730728,24763.0,484.0,387.3879040010307,184.0,1499.0,273.0,911.0
NR2F6,2,"(1, 2]",0.006254894526497384,NR2F6,308.4587338366096,66895.0,260.0,165.74071362089157,138.0,1491.0,191.0,373.0
KAT7,2,"(1, 2]",0.006814355938415432,KAT7,552.3060537565722,40702.0,458.0,274.89705457979403,287.0,1498.0,339.0,682.0
TSHZ1,2,"(1, 2]",0.001295785070854065,TSHZ1,312.29405318527176,13688.0,273.0,131.32448557347078,164.0,1462.0,225.0,356.0
ZFP3,2,"(1, 2]",0.00286945205634281,ZFP3,381.4502740167634,24816.0,322.0,196.62766947842974,190.0,1498.0,247.0,445.0
KLF13,2,"(1, 2]",0.002909098763360731,KLF13,424.95952707789047,22583.0,359.0,205.21977123057752,224.0,1497.0,275.0,506.0
GMEB1,2,"(1, 2]",0.005635660984769833,GMEB1,397.0093318242969,46829.0,334.0,205.71785069196392,149.0,1498.0,246.0,492.0
MEF2C,2,"(1, 2]",0.000752461403440708,MEF2C,231.57981154958486,10719.0,209.0,91.88164431469572,135.0,1080.0,167.0,269.0
ZNF266,2,"(1, 2]",0.00037121207749247364,ZNF266,307.9195373397033,3977.0,288.0,88.81813740548849,217.0,1220.0,243.0,352.0
SRSF9,2,"(1, 2]",0.0007383100713886201,SRSF9,295.5849514563107,8240.0,268.0,82.92498151369129,235.0,1342.0,239.0,319.0
